epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5027,1.87934,1.71268,1.06151,0.64697,0.54037,0.56057,0.22058,1.87678,1.05518,1.06538,0.000416207,0.000416207,0.000416207
2,83.8173,1.73391,1.1152,1.03748,0.75785,0.56963,0.63878,0.25658,1.80843,0.95805,1.03937,0.000816383,0.000816383,0.000816383
3,123.741,1.70684,1.0279,1.02544,0.77166,0.5808,0.63243,0.22887,1.92114,0.97693,1.0651,0.00120006,0.00120006,0.00120006
4,163.919,1.68628,0.98336,1.01906,0.71564,0.60865,0.64444,0.27579,1.74043,0.89272,1.02902,0.00117575,0.00117575,0.00117575
5,203.721,1.64736,0.93287,1.00615,0.73807,0.62203,0.67269,0.30113,1.67257,0.87405,1.02099,0.001151,0.001151,0.001151
6,243.763,1.63448,0.91516,1.00765,0.79691,0.62104,0.69603,0.29639,1.75078,0.85665,1.02591,0.00112625,0.00112625,0.00112625
7,283.741,1.61529,0.90007,1.00608,0.66966,0.64546,0.66904,0.3079,1.71029,0.86896,1.01891,0.0011015,0.0011015,0.0011015
8,323.875,1.6067,0.87437,1.00083,0.74684,0.60645,0.66191,0.3143,1.68818,0.82773,1.01647,0.00107675,0.00107675,0.00107675
9,364.359,1.60927,0.88031,0.9981,0.78654,0.63765,0.70004,0.30782,1.67983,0.83044,1.01701,0.001052,0.001052,0.001052
10,405.272,1.58273,0.8624,0.99793,0.74337,0.66632,0.70158,0.30733,1.63821,0.84344,1.00864,0.00102725,0.00102725,0.00102725
11,446.391,1.58139,0.8565,0.99336,0.67862,0.60425,0.67099,0.32129,1.64307,0.84585,1.01296,0.0010025,0.0010025,0.0010025
12,488.258,1.57101,0.84456,0.9919,0.75995,0.62999,0.69441,0.34886,1.58392,0.80918,1.00853,0.00097775,0.00097775,0.00097775
13,529.436,1.57105,0.846,0.99604,0.80405,0.63379,0.70905,0.31159,1.72608,0.83015,1.01871,0.000953,0.000953,0.000953
14,571.194,1.548,0.82194,0.99073,0.76216,0.64151,0.70284,0.33468,1.66508,0.82198,1.01084,0.00092825,0.00092825,0.00092825
15,612.977,1.53758,0.82002,0.98731,0.79643,0.6303,0.70688,0.33046,1.67328,0.81643,1.00579,0.0009035,0.0009035,0.0009035
16,654.246,1.54237,0.81476,0.98662,0.75962,0.64698,0.69356,0.32301,1.61859,0.81034,1.00302,0.00087875,0.00087875,0.00087875
17,694.458,1.53442,0.81034,0.98508,0.75494,0.67511,0.7258,0.33117,1.6731,0.80647,1.0116,0.000854,0.000854,0.000854
18,734.433,1.53977,0.80543,0.98082,0.77577,0.66281,0.72174,0.32794,1.65976,0.79026,1.00994,0.00082925,0.00082925,0.00082925
19,774.618,1.51106,0.78839,0.97922,0.75028,0.66972,0.70968,0.34524,1.61026,0.79392,1.00074,0.0008045,0.0008045,0.0008045
20,814.402,1.5064,0.78253,0.97812,0.79126,0.63306,0.72491,0.35386,1.59727,0.79118,0.99853,0.00077975,0.00077975,0.00077975
21,855.869,1.49588,0.77973,0.97688,0.77296,0.66933,0.72363,0.36004,1.61032,0.7749,1.0046,0.000755,0.000755,0.000755
22,897.405,1.50363,0.78241,0.97635,0.76187,0.68329,0.72597,0.36544,1.55822,0.76808,0.99681,0.00073025,0.00073025,0.00073025
23,938.375,1.49815,0.7727,0.97641,0.72527,0.70262,0.7251,0.34781,1.6346,0.77773,1.00494,0.0007055,0.0007055,0.0007055
24,978.316,1.49118,0.77596,0.97737,0.75281,0.6862,0.72485,0.35449,1.59595,0.78595,1.00015,0.00068075,0.00068075,0.00068075
25,1018.44,1.48055,0.76511,0.97586,0.80692,0.66603,0.73923,0.34518,1.65348,0.77379,1.00867,0.000656,0.000656,0.000656
26,1058.26,1.48094,0.76308,0.97474,0.79828,0.68297,0.74171,0.35398,1.58395,0.76898,1.00409,0.00063125,0.00063125,0.00063125
27,1098.65,1.46338,0.75227,0.97156,0.75,0.67964,0.72855,0.36763,1.61489,0.75389,1.00405,0.0006065,0.0006065,0.0006065
28,1138.78,1.47376,0.74979,0.96982,0.775,0.66529,0.73859,0.36577,1.58068,0.7621,1.00126,0.00058175,0.00058175,0.00058175
29,1178.96,1.4645,0.74897,0.96833,0.81303,0.66232,0.73771,0.34697,1.63835,0.76333,1.0069,0.000557,0.000557,0.000557
30,1219.11,1.44932,0.73993,0.96797,0.78576,0.67884,0.73873,0.35692,1.61948,0.75448,1.00405,0.00053225,0.00053225,0.00053225
31,1259.11,1.46545,0.74857,0.97263,0.76733,0.68137,0.73828,0.35424,1.58996,0.74295,0.9976,0.0005075,0.0005075,0.0005075
32,1300.08,1.4414,0.73178,0.96564,0.80249,0.66579,0.74241,0.36175,1.59727,0.74275,1.00267,0.00048275,0.00048275,0.00048275
33,1340.89,1.45575,0.7418,0.97106,0.79489,0.65027,0.73717,0.36327,1.59642,0.74194,1.00372,0.000458,0.000458,0.000458
34,1381.41,1.44478,0.73176,0.96448,0.80499,0.66554,0.74327,0.37259,1.59832,0.73915,1.00371,0.00043325,0.00043325,0.00043325
35,1421.77,1.42657,0.71424,0.95914,0.81174,0.68379,0.74563,0.36415,1.56816,0.7377,0.99893,0.0004085,0.0004085,0.0004085
36,1461.83,1.42517,0.71459,0.96245,0.77085,0.70061,0.74906,0.36993,1.55075,0.73113,0.99628,0.00038375,0.00038375,0.00038375
37,1501.97,1.41584,0.70638,0.95887,0.79405,0.68571,0.75327,0.36256,1.60493,0.7437,1.00018,0.000359,0.000359,0.000359
38,1543.95,1.44037,0.72042,0.96367,0.79256,0.66334,0.73632,0.37252,1.54216,0.73223,0.99723,0.00033425,0.00033425,0.00033425
39,1585.06,1.41536,0.70969,0.95797,0.77088,0.68944,0.74518,0.37391,1.55979,0.7283,0.99513,0.0003095,0.0003095,0.0003095
40,1626.76,1.41497,0.71286,0.96324,0.77886,0.67451,0.74227,0.36991,1.56881,0.73598,0.99818,0.00028475,0.00028475,0.00028475
41,1670.65,1.39222,0.6898,0.97303,0.82813,0.66944,0.74767,0.37452,1.56523,0.72483,0.99867,0.00026,0.00026,0.00026
42,1714.35,1.38059,0.68323,0.96458,0.76031,0.69242,0.73931,0.3809,1.56289,0.72804,0.99929,0.00023525,0.00023525,0.00023525
43,1755.96,1.37052,0.67332,0.96545,0.81329,0.67505,0.75374,0.37841,1.60305,0.73097,1.00218,0.0002105,0.0002105,0.0002105
44,1798.71,1.36401,0.66985,0.96557,0.81145,0.675,0.74962,0.37309,1.5947,0.7249,1.00418,0.00018575,0.00018575,0.00018575
45,1841.06,1.36006,0.66565,0.96454,0.79343,0.68377,0.75343,0.37705,1.56175,0.71482,0.99842,0.000161,0.000161,0.000161
46,1883.66,1.35111,0.66063,0.96332,0.79959,0.67813,0.74442,0.37783,1.55873,0.71868,0.99766,0.00013625,0.00013625,0.00013625
47,1925.67,1.34725,0.65701,0.95946,0.80709,0.68183,0.75178,0.37075,1.57783,0.71664,1.00166,0.0001115,0.0001115,0.0001115
48,1966.9,1.33791,0.65492,0.95848,0.78173,0.68262,0.74462,0.37762,1.55283,0.70822,0.99766,8.675e-05,8.675e-05,8.675e-05
49,2008.16,1.33322,0.6488,0.95844,0.79869,0.68576,0.74946,0.37025,1.58172,0.71614,0.99839,6.2e-05,6.2e-05,6.2e-05
50,2049.65,1.32182,0.64274,0.95575,0.79716,0.67893,0.75368,0.37358,1.57562,0.71005,0.99803,3.725e-05,3.725e-05,3.725e-05
